Date,Open,High,Low,Close,Volume
2021-06-28,108.11782723448056,110.5698094091298,108.01642876152596,110.25640106201172,11026600
2021-06-29,110.06281641890219,110.88321707370937,109.15945018619145,110.82791137695312,7874900
2021-06-30,110.7634048461914,111.31648300756572,109.70333426777455,110.7634048461914,7936400
2021-07-01,110.70806947117966,110.80946793385571,108.79994563328218,109.1594467163086,8295600
2021-07-02,109.46367663083997,109.86005064647723,109.15026821663763,109.61116790771484,5144300
2021-07-06,110.47763849416788,111.50083622232809,108.97510825134538,110.66200256347656,7181500
2021-07-07,111.2058614963768,111.5838025664383,108.96588902670918,109.00276184082031,7391800
2021-07-08,106.80887506304529,109.03040746193244,106.35718839471896,108.65247344970703,7565400
2021-07-09,108.77230686670835,111.34412750859087,108.42202569842627,111.13211059570312,8374200
2021-07-12,111.71285885314192,113.13243061190308,110.17344868501301,113.04024505615234,10668700
2021-07-13,113.55646082475293,115.66738211787018,112.57934876031347,114.2109375,13460200
2021-07-14,115.3631823433596,115.94391336322174,114.3676374240784,114.66261291503906,10587700
2021-07-15,110.726537081991,111.26117534380448,107.73068928571952,108.33907318115234,23734500
2021-07-16,109.46365879506585,109.68488864156028,106.1636158567898,106.68904113769531,12110000
2021-07-19,105.08510138298072,106.57841851337793,104.37531914349663,106.32952880859375,9230200
2021-07-20,106.81808481179138,107.7306710496187,105.4814788343555,107.29742431640625,7108000
2021-07-21,107.14072333526599,108.65247344970703,106.86418076415883,108.65247344970703,5564700
2021-07-22,108.85527519470382,108.85527519470382,107.12229505470498,107.4449234008789,5746500
2021-07-23,108.44969225896963,108.44969225896963,106.31111810103181,107.65694427490234,5773900
2021-07-26,106.7351304272012,107.0208859292912,105.88707684935554,106.6060791015625,6440600
2021-07-27,106.30188856565546,106.37563419306032,103.28760813137521,104.66108703613281,11127500
2021-07-28,105.02982611669428,106.4770508965555,104.97451337028856,106.07145690917969,6819700
2021-07-29,106.92869954853559,107.95189714994054,106.56919844888189,107.06697082519531,7162000
2021-07-30,106.46782605032705,108.23767913316875,106.18207049929342,107.5186767578125,6482600
2021-08-02,108.31140170766295,109.12258243971908,107.53709378607796,107.72145080566406,6028800
2021-08-03,108.13626092940349,109.36225554224694,107.70301418405506,109.1502456665039,5874700
2021-08-04,109.16866652960509,110.20108404238721,109.03039525952647,109.45442199707031,4254000
2021-08-05,109.75864032211912,109.91534451233085,108.9935452295272,109.89691162109375,4452300
2021-08-06,109.1133802334281,109.32539012350779,108.26531957479884,108.96588897705078,4338100
2021-08-09,109.15946995946733,109.50053822770712,108.14549214957094,108.97511291503906,4280200
2021-08-10,109.23320887375424,109.74020126391342,105.15885796058956,107.26055908203125,5132800
2021-08-11,107.38959889669442,108.1178210550335,106.19125721177811,106.91947937011719,4490400
2021-08-12,106.51390401541357,106.88261808180614,105.49070630580314,106.65216827392578,6338400
2021-08-13,106.07143763232789,106.48624447474378,105.53679238845447,106.46781158447266,4593200
2021-08-16,106.09910988177516,106.4493981558988,105.17731047874884,105.66586303710938,5435900
2021-08-17,104.83623636190237,104.94684777574592,102.0892713828698,102.4211196899414,13398800
2021-08-18,103.00183537420094,104.16330427601154,101.7481879636557,101.81271362304688,9167300
2021-08-19,100.47612642125263,102.29207221667822,99.25935159360884,101.87725830078125,12146900
2021-08-20,100.60515664121813,101.13058186482021,99.30542352294741,99.66492462158203,13042000
2021-08-23,101.47166373043723,102.62391279977967,100.72500155121959,102.28284454345703,9533500
2021-08-24,103.0755881497751,104.22783717087023,103.05715525985634,103.34291076660156,6719800
2021-08-25,106.66139900101538,109.86004378248519,106.56922047511343,107.878173828125,22106800
2021-08-26,108.75387528868629,109.19633497682477,107.25133805609244,108.86448669433594,9892100
2021-08-27,109.0765071707719,109.97065357040388,108.48655621214735,109.22399139404297,6827700
2021-08-30,109.58348464464531,110.1550026714743,109.20555063561605,109.68488311767578,6434200
2021-08-31,110.6251302460217,111.35335249932591,109.41756844313413,109.70333099365234,8424900
2021-09-01,110.81871763762577,111.86956832125361,110.21032669827763,111.03994750976562,8603900
2021-09-02,111.48240276280984,111.89720960928958,111.03993603149738,111.34413146972656,6866400
2021-09-03,112.0723670278528,114.74558655816061,111.77739151619772,114.27546691894531,10361400
2021-09-07,114.87463328683586,115.48301717832926,114.20171669176537,114.94837188720703,9739900
2021-09-08,113.35364568809302,113.51034985999644,111.74971709258315,112.35810089111328,7983300
2021-09-09,112.63464695845211,113.83298170368388,112.34888442300169,113.0863265991211,5101300
2021-09-10,113.39973869614924,114.61651340397476,113.27990732750122,113.35365295410156,5163900
2021-09-13,113.32600367329879,114.39528716161747,112.64386715490608,113.95282745361328,6622800
2021-09-14,113.9620286815947,113.9620286815947,112.82821964257387,113.4642562866211,5110500
2021-09-15,112.83746753578599,112.92042610576614,111.42710855118202,111.99862670898438,5566500
2021-09-16,111.07024695956409,112.11615590957045,110.46861504286856,111.80146026611328,7301400
2021-09-17,111.24610911544231,111.50527189205542,108.93214566474524,108.98767852783203,10722700
2021-09-20,106.62742737036687,107.37715629085153,105.1002172226272,106.16463470458984,8991000
2021-09-21,107.04394483376022,107.2475747362383,106.02580238302544,106.40528869628906,8182200
2021-09-22,106.65520739836835,107.59004355613644,106.35902035658573,107.2475814819336,5345600
2021-09-23,108.26574067945313,108.26574067945313,106.988428127348,107.54378509521484,5484700
2021-09-24,107.36790215268475,107.88622769645058,106.93287590202875,107.0346908569336,4455900
2021-09-27,107.090219122731,107.8954808965107,106.45157005133181,107.5067367553711,5198800
2021-09-28,105.82218623246276,106.47935105480718,103.5267312084843,103.57301330566406,9792300
2021-09-29,103.94324111500825,104.45230883758443,102.75848589549105,103.3138427734375,6522400
2021-09-30,104.06356158606837,104.9150984165695,103.34160614013672,103.34160614013672,6433400
2021-10-01,103.66556060048177,103.94323903389542,102.09206830888682,103.25830078125,5315200
2021-10-04,102.73998809892797,103.13799013709279,100.44453300544455,100.9073257446289,8514500
2021-10-05,101.62927249414666,102.13834019083464,101.09243130564892,101.12945556640625,8039600
2021-10-06,100.37048524075102,101.37011212785293,99.57448121433126,101.20350646972656,7553600
2021-10-07,102.73998179904466,103.39714660099114,102.26793125675825,102.58263397216797,7821900
2021-10-08,102.72147776563484,102.80477706768917,101.36086600549402,101.85142517089844,5143400
2021-10-11,101.88841757968608,103.3971188700883,101.72181196601278,102.05502319335938,5318500
2021-10-12,102.2494108788061,102.76773639548085,100.48153953754604,101.07391357421875,9294600
2021-10-13,101.18498585483138,101.86066623858098,100.8425167477726,101.7958755493164,7845100
2021-10-14,105.6463179362683,106.2016677689057,102.88807737411823,104.18389129638672,16930500
2021-10-15,106.23868798659058,106.39603580520836,104.55412289014107,106.31273651123047,11558800
2021-10-18,104.97989672987202,106.76627687444031,104.97989672987202,106.75701904296875,6773800
2021-10-19,107.18277165172276,108.27496249736625,107.0254167969497,108.2564468383789,5406100
2021-10-20,108.18241694026433,108.32125615993957,106.95139374867261,106.98841094970703,8205800
2021-10-21,106.45157389429514,107.6918548831789,106.08133833913453,107.63632202148438,4640300
2021-10-22,107.59006672201531,108.43235299630078,105.72964477539062,105.72964477539062,6283000
2021-10-25,105.88696429160719,106.0258035049164,104.69295835579707,105.18351745605469,6667700
2021-10-26,106.38678886607336,106.72000017729334,105.25757354045632,105.68334197998047,4852300
2021-10-27,105.54450213786338,106.49785397095339,105.24831509203291,105.28533935546875,5394500
2021-10-28,105.20203494454904,107.38640988781943,105.09096215964139,107.37715911865234,5714300
2021-10-29,105.58152094167787,105.6925937262418,104.79477480390364,105.23905181884766,7118900
2021-11-01,105.1279830641533,105.83142282780412,104.91509533195921,105.62779998779297,4955700
2021-11-02,105.13725238186011,106.25721703861714,105.0909773443708,105.61856079101562,4479700
2021-11-03,104.99840236080372,105.60928500808964,104.34123762223835,105.52598571777344,6073000
2021-11-04,104.93362559194497,109.08024447646528,104.0450644024049,109.02471160888672,14682800
2021-11-05,109.37642049943453,110.63521715630367,107.59929829973314,109.0339584350586,8668100
2021-11-08,109.58004246533098,113.15280226750318,108.33976156013247,111.91252136230469,15776300
2021-11-09,112.22722956496288,114.09690896275148,111.22759563981356,112.71778869628906,10874100
2021-11-10,110.70002645884153,111.81073331661679,108.92290396038963,109.40420532226562,9046100
2021-11-11,110.38531935593839,111.50527686866202,109.03396548781758,109.39494323730469,6994000
2021-11-12,109.58005623224145,109.97805824139732,108.54339802983034,109.85773468017578,6947200
2021-11-15,110.44086182617767,110.73704890437821,108.76555432713614,109.33016204833984,5157000
2021-11-16,108.93216642390657,109.57081565607999,108.44160720873806,109.29314422607422,5555100
2021-11-17,109.21907704958119,110.65373724226782,108.76554218146954,110.2001953125,6391400
2021-11-18,111.04246221463498,114.36530983191169,110.8851144188561,114.20796203613281,13229700
2021-11-19,112.94917107961477,115.51304627088892,112.93991324951105,115.01322937011719,9071800
2021-11-22,114.30979983648938,118.55823354203187,114.04137921619521,115.46678161621094,16076100
2021-11-23,113.58784490430803,114.03212195541713,110.62596729640303,112.32904815673828,10984000
2021-11-24,111.0702521808496,111.87551405135707,109.58931689743622,111.7274169921875,6992600
2021-11-26,108.75627866154261,110.18168094842025,107.84920191110928,108.37678527832031,6766900
2021-11-29,109.55227942058465,110.95916600474203,109.12651101930471,110.40381622314453,7634000
2021-11-30,109.311638236684,111.22759980073309,107.14577171282697,108.43233489990234,10561800
2021-12-01,110.34830186576679,114.31906441553951,110.34830186576679,111.65337371826172,12924400
2021-12-02,111.39420648848682,114.21724491013734,111.08876159794958,112.64374542236328,8425500
2021-12-03,111.99585283944796,112.78259915367458,109.2005875533943,110.45012664794922,7809000
2021-12-06,110.04284224776673,110.60744987902729,107.90474233828695,110.27423858642578,5681200
2021-12-07,111.5700571940202,113.45825212593114,111.31089442993243,113.21759796142578,7459200
2021-12-08,112.57894273224602,113.12504175670298,111.17205611794768,112.73629760742188,5795700
2021-12-09,112.16242063286418,113.00469953646673,110.59817930404584,110.60743713378906,6103900
2021-12-10,111.07023827112653,111.80145152047677,109.4412061325531,110.26497650146484,5973900
2021-12-13,110.01506793651095,110.17241574073073,107.72887114445696,107.75663757324219,5854300
2021-12-14,106.84957588030301,108.274978177595,106.67371240272915,107.63632202148438,6267300
2021-12-15,108.09912664933275,111.54230568812147,107.81219741665257,111.44049072265625,6700700
2021-12-16,111.84570051945792,112.22676374199125,107.94216374738785,108.34181213378906,9116100
2021-12-17,108.08157763201716,109.19687183012998,107.7469879544098,108.10945892333984,11725600
2021-12-20,107.73770344752168,108.38829770898309,105.86958581873232,106.8268814086914,6980800
2021-12-21,107.87712095825188,109.20618373327886,106.95700275734661,109.15042114257812,6122900
2021-12-22,108.66709945918066,112.86805533947158,108.58345559026449,112.7379379272461,9300100
2021-12-23,112.4219322093145,113.19334763830499,111.3809858319707,112.16169738769531,6512500
2021-12-27,112.6635793666755,114.55958499891561,112.64498711362008,114.03910827636719,6309900
2021-12-28,114.6711088574521,114.9313507612178,113.26769867490938,113.44428253173828,6321000
2021-12-29,113.20265040772246,114.45735813750755,112.43123493346563,112.84017944335938,5847700
2021-12-30,112.45911348993802,112.97029411487559,111.70629028854573,111.92005157470703,4187800
2021-12-31,112.78440928575755,113.15617637580226,111.73417381543364,111.81781768798828,3888200
2022-01-03,115.36815782142233,120.44275743489261,115.2473365535538,119.70852661132812,18592000
2022-01-04,121.63240184219326,125.93559306592095,121.10264325324302,123.98381805419922,25554900
2022-01-05,121.48373222412278,121.641730930985,117.92406716552013,118.09136199951172,17891200
2022-01-06,118.0356153222138,119.89444390996519,116.00019574954815,119.40185546875,16249000
2022-01-07,117.61736995762267,118.16572093252499,114.60606284134904,114.78265380859375,21248100
2022-01-10,116.2790133067896,116.98537009746025,114.55959842276417,116.18607330322266,11857700
2022-01-11,117.60806495860982,120.40560347767196,116.6414734117044,120.05242156982422,12113100
2022-01-12,121.28855596553126,123.53773668086158,121.02832111792185,122.89643859863281,16389200
